condition,p_semantic,p_social,rep,period,repertoire_size,max_level,mean_score
random,0.0,0.0,3,98,12,5,94.9
random,0.0,0.0,3,99,12,5,77.3
random,0.0,0.0,3,100,12,5,80.0
random,0.0,0.0,3,101,12,5,83.6
random,0.0,0.0,3,102,12,6,78.3
random,0.0,0.0,3,103,13,7,85.3
random,0.0,0.0,3,104,13,7,82.9
random,0.0,0.0,3,105,13,7,83.5
random,0.0,0.0,3,106,10,4,73.8
random,0.0,0.0,3,107,10,4,69.0
random,0.0,0.0,3,108,10,4,71.4
random,0.0,0.0,3,109,10,4,72.9
random,0.0,0.0,3,110,10,4,73.5
random,0.0,0.0,3,111,10,4,75.6
random,0.0,0.0,3,112,10,4,78.3
random,0.0,0.0,3,113,11,5,79.3
random,0.0,0.0,3,114,11,5,80.8
random,0.0,0.0,3,115,11,5,77.2
random,0.0,0.0,3,116,11,5,76.9
random,0.0,0.0,3,117,10,4,74.4
random,0.0,0.0,3,118,10,4,74.4
random,0.0,0.0,3,119,10,4,76.8
random,0.0,0.0,3,120,10,4,80.4
random,0.0,0.0,3,121,10,4,75.9
random,0.0,0.0,3,122,10,4,75.9
random,0.0,0.0,3,123,10,4,79.2
random,0.0,0.0,3,124,10,4,81.0
random,0.0,0.0,3,125,10,4,75.3
random,0.0,0.0,3,126,10,4,79.2
random,0.0,0.0,3,127,9,4,76.2
random,0.0,0.0,3,128,9,4,77.7
random,0.0,0.0,3,129,9,4,80.4
random,0.0,0.0,3,130,10,4,81.6
random,0.0,0.0,3,131,10,4,81.6
random,0.0,0.0,3,132,10,4,82.8
random,0.0,0.0,3,133,10,4,81.6
random,0.0,0.0,3,134,10,4,84.6
random,0.0,0.0,3,135,10,4,84.9
random,0.0,0.0,3,136,10,4,85.5
random,0.0,0.0,3,137,10,4,85.2
random,0.0,0.0,3,138,10,4,80.1
random,0.0,0.0,3,139,11,5,83.8
random,0.0,0.0,3,140,11,5,85.9
random,0.0,0.0,3,141,10,4,83.4
random,0.0,0.0,3,142,10,4,81.9
random,0.0,0.0,3,143,10,4,80.1
random,0.0,0.0,3,144,10,4,74.7
random,0.0,0.0,3,145,10,4,75.3
random,0.0,0.0,3,146,10,4,73.2
random,0.0,0.0,3,147,10,4,75.0
random,0.0,0.0,3,148,10,4,75.9
random,0.0,0.0,3,149,10,4,76.5
random,0.0,0.0,3,150,10,4,79.2
random,0.0,0.0,4,0,0,0,0.0
